id;cca2;continents;currencies;flag;languages;population;capital;bbox
6261acad-12af-4493-9b69-a7a828264e1d;TD;Africa;Central African CFA franc;🇹🇩;Arabic,French;19340757;N'Djamena;13.4482421875,7.47529296875,23.9833984375,23.4452148437
9b19b776-92fc-46fb-9587-4982f2156099;FI;Europe;euro;🇫🇮;Finnish,Swedish;5650325;Helsinki;20.6221679688,59.816015625,31.5365234375,70.06484375
3b048805-28ea-44d5-910c-b267059b5f8e;RU;Europe,Asia;Russian ruble;🇷🇺;Russian;146028325;Moscow;19.604395,41.199268,190.270850,81.854199
278e8d51-fb3d-43c5-81b5-995cacdeb565;KZ;Asia;Kazakhstani tenge;🇰🇿;Kazakh,Russian;20426568;Astana;46.6091796875,40.6086425781,87.3228515625,55.3895996094
069c2faa-ebe6-4498-aa7f-1d87c610f12f;VE;South America;Venezuelan bolívar soberano;🇻🇪;Spanish;28517000;Caracas;-73.3662109375,0.68798828125,-59.82890625,12.1778808594
08554907-d7c0-4560-a38f-85910102dae4;MC;Europe;euro;🇲🇨;French;38423;Monaco;7.377734375,43.7317382812,7.438671875,43.7708984375
05d762e9-8061-4e6d-8a86-4790b5cd05ae;SN;Africa;West African CFA franc;🇸🇳;French;18593258;Dakar;-17.5356445312,12.3280273437,-11.382421875,16.67890625
50e3303d-7994-4c6c-b0f9-0293b392b5f1;NP;Asia;Nepalese rupee;🇳🇵;Nepali;29911840;Kathmandu;80.0516601563,26.3603027344,88.1615234375,30.3875
e66f5c52-064b-494b-8202-b4ab7c78ef59;AE;Asia;United Arab Emirates dirham;🇦🇪;Arabic;11294243;Abu Dhabi;51.568359375,22.621484375,56.3879882813,26.0681640625
3d460201-743c-484f-bbdd-29b8a099546f;BO;South America;Bolivian boliviano;🇧🇴;Aymara,Guaraní,Quechua,Spanish;11365333;Sucre;-69.645703125,-22.8916992188,-57.4956542969,-9.71044921875
36bb6a36-e583-40ae-913d-0c8ca9fc8b40;CL;South America;Chilean peso;🇨🇱;Spanish;20206953;Santiago;-109.434130859,-55.8916992188,-66.4357910156,-17.5060546875
0931ffb7-c599-42f1-bb80-4c6254a2b48e;CI;Africa;West African CFA franc;🇨🇮;French;31719275;Yamoussoukro;-8.60356445312,4.35131835938,-2.505859375,10.7240722656
da5dca47-de80-43b8-a7aa-6f6314a04ad2;LY;Africa;Libyan dinar;🇱🇾;Arabic;7459000;Tripoli;9.31025390625,19.4966308594,25.1504882813,33.1819335937
747f8f02-3050-42f6-9fe1-cf7be93b5eb8;PE;South America;Peruvian sol;🇵🇪;Aymara,Quechua,Spanish;34350244;Lima;-81.3366210937,-18.3456054688,-68.6852539062,-0.041748046875
2b871da5-9ca8-438a-88a1-ee343ccecbb7;CA;North America;Canadian dollar;🇨🇦;English,French;41651653;Ottawa;-141.002148438,41.6748535156,-52.6536621094,83.1161132813
c05b05bd-dd02-4651-be05-ffed50f2d5cb;FR;Europe;euro;🇫🇷;French;66351959;Paris;-4.7625,41.3849121094,9.5564453125,51.0971191406
61a55963-ba53-456b-97a3-9ee876a98744;DJ;Africa;Djiboutian franc;🇩🇯;Arabic,French;1066809;Djibouti;41.7646484375,10.941015625,43.409765625,12.70859375
60937f75-a21e-4623-83b9-769251d66333;BI;Africa;Burundian franc;🇧🇮;French,Kirundi;12332788;Gitega;29.0141601562,-4.455859375,30.8114257813,-2.31298828125
6aaab1ab-0d92-4b70-b59a-9b9e6c707f81;XK;Europe;euro;🇽🇰;Albanian,Serbian;1585566;Pristina;20.0142844,41.8576408,21.7899366,43.2733306
47bcfb50-52af-461b-8c0e-9e42a621f8ea;DK;Europe;Danish krone;🇩🇰;Danish;6011488;Copenhagen;8.121484375,54.6288574219,15.137109375,57.7369140625
9364d526-e158-483a-9a7e-2f69f7f6e3c3;GR;Europe;euro;🇬🇷;Greek;10400720;Athens;19.646484375,34.9344726563,28.2318359375,41.7437988281
b4af0421-85e9-4c2f-a81a-24e826661c24;CZ;Europe;Czech koruna;🇨🇿;Czech,Slovak;10882341;Prague;12.0897460938,48.5762207031,18.8322265625,51.0377929687
5c8c1a89-9849-4f80-9244-5433d053766b;ER;Africa;Eritrean nakfa;🇪🇷;Arabic,English,Tigrinya;3607000;Asmara;36.4267578125,12.3765625,43.1166992187,18.005078125
